sssom_subject_id,sssom_subject_label,sssom_subject_category,sssom_predicate_id,sssom_object_id,sssom_object_label,sssom_object_category,sssom_mapping_justification,sssom_author_id,sssom_author_label,sssom_reviewer_id,sssom_reviewer_label,sssom_creator_id,sssom_creator_label,sssom_subject_type,sssom_object_type,sssom_mapping_date,sssom_object_match_field,sssom_comment,semapv_RegexRemoval,object_source_version,object_url,subject_url
mids:Name,Name,mids:mids1,skos:narrowMatch,dwc:scientificNameID,Scientific Name ID,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,,,orcid:0000-0002-3973-1260,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown|0,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/scientificNameID,https://tdwg.github.io/mids/information-elements#Name
mids:ScientificNameID,Scientific Name ID,mids:mids1,skos:narrowMatch,gbif:taxonKey,Taxon Key,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1260,Mathias Dillen,rdf property,rdf property,2024-06-26,,,|unknown:undigitized|unknown|Unknown|0,http://rs.tdwg.org/dwc/terms,gbif:taxonKey,https://tdwg.github.io/mids/information-elements#ScientificNameID
mids:Name,Name,mids:mids1,skos:narrowMatch,dwc:organismName,Organism Name,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,,,orcid:0000-0002-3973-1261,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/organismName,https://tdwg.github.io/mids/information-elements#Name
mids:SpecimenType,Specimen Type,mids:mids1,skos:exactMatch,dwc:basisOfRecord,Basis Of Record,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,,,orcid:0000-0002-3973-1260,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/basisOfRecord,https://tdwg.github.io/mids/information-elements#SpecimenType
mids:ObjectType,Object Type,mids:mids1,skos:exactMatch,dwc:preparations,Preparations,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,,,orcid:0000-0002-3973-1261,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/preparations,https://tdwg.github.io/mids/information-elements#ObjectType
mids:License,License,mids:mids1,skos:exactMatch,dc:license,License,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,,,orcid:0000-0002-3973-1262,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,dc:license,https://tdwg.github.io/mids/information-elements#License
mids:Modified,Modified,mids:mids1,skos:exactMatch,dc:modified,Modified,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,,,orcid:0000-0002-3973-1263,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,dc:modified,https://tdwg.github.io/mids/information-elements#Modified
mids:QualitativeLocation,Qualitative Location,mids:mids2,skos:narrowMatch,dwc:locality,Locality,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,,,orcid:0000-0002-3973-1264,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/locality,https://tdwg.github.io/mids/information-elements#QualitativeLocation
mids:QualitativeLocation,Qualitative Location,mids:mids2,skos:narrowMatch,dwc:county,County,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,,,orcid:0000-0002-3973-1265,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/county,https://tdwg.github.io/mids/information-elements#QualitativeLocation
mids:QualitativeLocation,Qualitative Location,mids:mids2,skos:narrowMatch,dwc:municipality,Municipality,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,,,orcid:0000-0002-3973-1266,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/municipality,https://tdwg.github.io/mids/information-elements#QualitativeLocation
mids:QualitativeLocation,Qualitative Location,mids:mids2,skos:narrowMatch,dwc:verbatimLocality,Verbatim Locality,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1267,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/verbatimLocality,https://tdwg.github.io/mids/information-elements#QualitativeLocation
mids:QualitativeLocation,Qualitative Location,mids:mids2,skos:narrowMatch,dwc:island,Island,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,,,orcid:0000-0002-3973-1268,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/island,https://tdwg.github.io/mids/information-elements#QualitativeLocation
mids:QualitativeLocation,Qualitative Location,mids:mids2,skos:narrowMatch,dwc:verbatimCoordinates,Verbatim Coordinates,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1269,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/verbatimCoordinates,https://tdwg.github.io/mids/information-elements#QualitativeLocation
mids:QualitativeLocation,Qualitative Location,mids:mids2,owl:intersectionOf,dwc:verbatimLongitude,Verbatim Longitude,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1272,Mathias Dillen,rdf property,rdf property,2023-09,dwc:verbatimLongitude | dwc:verbatimLatitude,All properties in object_match_field need to be present,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/verbatimLongitude,https://tdwg.github.io/mids/information-elements#QualitativeLocation
mids:QualitativeLocation,Qualitative Location,mids:mids2,owl:intersectionOf,dwc:verbatimLatitude,Verbatim Latitude,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1273,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/verbatimLatitude,https://tdwg.github.io/mids/information-elements#QualitativeLocation
mids:QualitativeLocation,Qualitative Location,mids:mids2,skos:narrowMatch,dwc:continent,Continent,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,,,orcid:0000-0002-3973-1274,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/continent,https://tdwg.github.io/mids/information-elements#QualitativeLocation
mids:QualitativeLocation,Qualitative Location,mids:mids2,skos:narrowMatch,dwc:country,Country,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,,,orcid:0000-0002-3973-1275,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/country,https://tdwg.github.io/mids/information-elements#QualitativeLocation
mids:QualitativeLocation,Qualitative Location,mids:mids2,skos:narrowMatch,dwc:countryCode,Country Code,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,,,orcid:0000-0002-3973-1276,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/countryCode,https://tdwg.github.io/mids/information-elements#QualitativeLocation
mids:QualitativeLocation,Qualitative Location,mids:mids2,skos:narrowMatch,dwc:islandGroup,Island Group,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,,,orcid:0000-0002-3973-1277,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/islandGroup,https://tdwg.github.io/mids/information-elements#QualitativeLocation
mids:QualitativeLocation,Qualitative Location,mids:mids2,skos:narrowMatch,dwc:stateProvince,State Province,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,,,orcid:0000-0002-3973-1278,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/stateProvince,https://tdwg.github.io/mids/information-elements#QualitativeLocation
mids:QualitativeLocation,Qualitative Location,mids:mids2,skos:narrowMatch,dwc:waterBody,Water Body,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,,,orcid:0000-0002-3973-1279,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/waterBody,https://tdwg.github.io/mids/information-elements#QualitativeLocation
mids:QualitativeLocation,Qualitative Location,mids:mids2,skos:narrowMatch,dwc:higherGeography,Higher Geography,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0001-9144-2848,Elspeth Haston,,,orcid:0000-0002-3973-1279,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/higherGeography,https://tdwg.github.io/mids/information-elements#QualitativeLocation
mids:QuantitativeLocation,Quantitative Location,mids:mids2,skos:exactMatch,dwc:locationID,Location ID,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1274,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/locationID,https://tdwg.github.io/mids/information-elements#QuantitativeLocation
mids:QuantitativeLocation,Quantitative Location,mids:mids2,owl:intersectionOf,dwc:decimalLatitude,Decimal Latitude,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1275,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/decimalLatitude,https://tdwg.github.io/mids/information-elements#QuantitativeLocation
mids:QuantitativeLocation,Quantitative Location,mids:mids2,owl:intersectionOf,dwc:decimalLongitude,Decimal Longitude,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1276,Mathias Dillen,rdf property,rdf property,2023-09,dwc:decimalLatitude | dwc:decimalLongitude,All properties in object_match_field need to be present,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/decimalLongitude,https://tdwg.github.io/mids/information-elements#QuantitativeLocation
mids:QuantitativeLocation,Quantitative Location,mids:mids2,skos:narrowMatch,dwc:footprintWKT,Footprint WKT,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1280,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/footprintWKT,https://tdwg.github.io/mids/information-elements#QuantitativeLocation
mids:CollectingAgent,Collecting Agent,mids:mids2,skos:narrowMatch,dwc:recordedBy,Recorded By,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,,,orcid:0000-0002-3973-1282,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/recordedBy,https://tdwg.github.io/mids/information-elements#CollectingAgent
mids:CollectingAgent,Collecting Agent,mids:mids2,skos:narrowMatch,dwc:recordedByID,Recorded By ID,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,,,orcid:0000-0002-3973-1283,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/recordedByID,https://tdwg.github.io/mids/information-elements#CollectingAgent
mids:CollectionDate,Collection Date,mids:mids2,skos:narrowMatch,dwc:eventDate,Event Date,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,,,orcid:0000-0002-3973-1284,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/eventDate,https://tdwg.github.io/mids/information-elements#CollectionDate
mids:CollectionDate,Collection Date,mids:mids2,skos:narrowMatch,dwc:year,Year,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1285,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/year,https://tdwg.github.io/mids/information-elements#CollectionDate
mids:CollectionDate,Collection Date,mids:mids2,skos:narrowMatch,dwc:verbatimEventDate,Verbatim Event Date,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1286,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/verbatimEventDate,https://tdwg.github.io/mids/information-elements#CollectionDate
mids:CollectorNumber,Collector Number,mids:mids2,skos:narrowMatch,dwc:fieldNumber,Field Number,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,,,orcid:0000-0002-3973-1287,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/fieldNumber,https://tdwg.github.io/mids/information-elements#CollectorNumber
mids:CollectorNumber,Collector Number,mids:mids2,skos:narrowMatch,dwc:recordNumber,Record Number,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,,,orcid:0000-0002-3973-1288,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/recordNumber,https://tdwg.github.io/mids/information-elements#CollectorNumber
mids:Media,Media,mids:mids2,skos:narrowMatch,gbif:mediaType,Media Type,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1289,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,gbif:mediaType,https://tdwg.github.io/mids/information-elements#Media
mids:Media,Media,mids:mids2,skos:narrowMatch,dwc:associatedMedia,Associated Media,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,,,orcid:0000-0002-3973-1289,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/associatedMedia,https://tdwg.github.io/mids/information-elements#Media
mids:Media,Media,mids:mids2,skos:narrowMatch,dc:identifier,Identifier,gbif:Multimedia,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1289,Mathias Dillen,rdf property,rdf property,2023-12-05,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,dc:identifier,https://tdwg.github.io/mids/information-elements#Media
mids:Media,Media,mids:mids2,skos:narrowMatch,dc:references,References,gbif:Multimedia,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1289,Mathias Dillen,rdf property,rdf property,2023-12-05,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,dc:references,https://tdwg.github.io/mids/information-elements#Media
mids:Media,Media,mids:mids2,skos:narrowMatch,ac:accessURI,Access URI,ac:Multimedia,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1289,Mathias Dillen,rdf property,rdf property,2023-12-05,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,ac:accessURI,https://tdwg.github.io/mids/information-elements#Media
mids:Media,Media,mids:mids2,skos:narrowMatch,dc:identifier,Identifier,ac:Multimedia,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1289,Mathias Dillen,rdf property,rdf property,2023-12-05,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,dc:identifier,https://tdwg.github.io/mids/information-elements#Media
mids:GeographicalLocalityID,Geographical Locality ID,mids:mids3,owl:intersectionOf,dwc:geodeticDatum,Geodetic Datum,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,,,orcid:0000-0002-3973-1277,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/geodeticDatum,https://tdwg.github.io/mids/information-elements#GeographicalLocalityID
mids:GeographicalLocalityID,Geographical Locality ID,mids:mids3,owl:intersectionOf,dwc:coordinateUncertaintyInMeters,Coordinate Uncertainty In Meters,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1278,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters,https://tdwg.github.io/mids/information-elements#GeographicalLocalityID
mids:GeographicalLocalityID,Geographical Locality ID,mids:mids3,owl:intersectionOf,dwc:coordinatePrecision,Coordinate Precision,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1279,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/coordinatePrecision,https://tdwg.github.io/mids/information-elements#GeographicalLocalityID
mids:GeographicalLocalityID,Geographical Locality ID,mids:mids3,owl:intersectionOf,dwc:footprintSRS,Footprint SRS,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1281,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/footprintSRS,https://tdwg.github.io/mids/information-elements#GeographicalLocalityID
mids:GeographicalLocalityID,Geographical Locality ID,mids:mids3,skos:exactMatch,dwc:locationID,Location ID,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1274,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/locationID,https://tdwg.github.io/mids/information-elements#GeographicalLocalityID
mids:GeographicalLocalityID,Geographical Locality ID,mids:mids3,owl:intersectionOf,dwc:decimalLatitude,Decimal Latitude,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1275,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/decimalLatitude,https://tdwg.github.io/mids/information-elements#GeographicalLocalityID
mids:GeographicalLocalityID,Geographical Locality ID,mids:mids3,owl:intersectionOf,dwc:decimalLongitude,Decimal Longitude,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1276,Mathias Dillen,rdf property,rdf property,2023-09,dwc:decimalLatitude | dwc:decimalLongitude | dwc:coordinatePrecision | dwc:coordinateUncertaintyInMeters | dwc:geodeticDatum,All properties in object_match_field need to be present,|unknown:undigitized|unknown|Unknown,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/decimalLongitude,https://tdwg.github.io/mids/information-elements#GeographicalLocalityID
